ID,x,y,r,brightness,ID
209,190,1000,16,287.89844851904087,
210,832,796,21,183.88225934765316,
211,46,936,20,4469.707705934456,
212,196,274,20,151.53232949512844,
213,782,400,20,147.5642161204606,P.ae
214,166,832,19,150.406342913776,
215,186,800,19,186.62041625371654,
216,188,472,19,162.89395441030723,
217,268,334,19,150.26759167492565,
218,396,1020,19,231.57581764122892,
219,568,566,19,161.22893954410307,
220,586,728,19,186.2041625371655,
221,42,462,18,153.82907880133186,
222,218,974,18,184.12874583795784,
223,458,96,18,162.53052164261933,
224,832,212,18,240.68812430632633,
225,1298,48,18,142.01997780244173,
226,614,406,17,181.6311166875784,
227,888,506,16,141.38222849083215,
228,590,32,21,156.48369132856007,
229,1028,382,21,284.4550517104217,P.ae
230,1314,868,21,85.98249801113762,
231,308,568,19,166.6402378592666,
232,556,606,19,282.91377601585725,
233,628,676,19,153.18136769078293,P.ae
234,634,62,19,189.53419226957382,
235,670,744,19,153.73637264618432,
236,1352,278,19,259.0485629335976,
237,732,964,18,147.9245283018868,
238,80,532,18,177.4472807991121,
239,208,380,18,136.11542730299666,
240,254,912,18,212.25305216426193,
241,330,478,18,422.48612652608216,E.co
242,344,560,18,232.29744728079913,
243,426,974,18,192.9855715871254,
244,514,408,18,292.1198668146504,P.ae
245,880,850,18,140.77691453940068,P.ae
246,1096,170,18,264.30632630410656,
247,1160,222,18,165.48279689234187,
248,1314,84,18,199.82241953385127,
249,218,628,16,263.01833568406204,
250,120,170,20,205.8458813108946,
251,296,258,20,324.51727192205493,
252,598,80,20,231.762621789194,
253,906,474,20,203.36581045172719,
254,932,278,20,167.40478299379984,
255,1014,558,20,152.64836138175377,
256,1192,30,20,144.2161204605846,P.ae
257,746,302,20,197.28963684676705,
258,76,700,19,172.05153617443014,
259,108,22,19,8471.456888007928,E.co
260,556,650,19,278.61248761149653,
261,580,392,19,141.66501486620416,
262,642,110,19,263.07234886025765,
263,22,594,19,153.18136769078293,P.ae
264,110,316,18,148.23529411764707,P.ae
265,136,870,18,173.7180910099889,P.ae
266,168,570,18,134.71698113207546,
267,212,762,18,173.5627081021088,
268,412,546,18,229.811320754717,
269,454,942,18,156.315205327414,P.ae
270,594,612,18,324.4395116537181,
271,926,642,18,140.15538290788012,
272,98,628,18,221.73140954495005,
273,110,482,21,156.48369132856007,
274,540,788,21,339.36356404136836,
275,1348,66,21,6496.579156722355,
276,134,64,20,8405.580159433126,E.co
277,148,458,20,154.75642161204607,
278,242,154,20,410.8237378210806,
279,854,158,20,150.41629760850313,
280,110,1004,19,159.8414271555996,
281,432,460,19,520.7333994053517,
282,748,100,19,144.30128840436075,
283,436,834,19,338.5530227948464,
284,58,130,18,143.7291897891232,
285,58,746,18,152.43063263041066,
286,98,666,18,155.5382907880133,
287,476,620,18,195.47169811320757,
288,632,632,18,154.60599334073254,
289,866,752,18,148.07991120976692,
290,932,106,18,8993.718091009989,E.co
291,966,110,18,211.00998890122088,
292,974,656,18,149.01220865704772,
293,1128,380,18,10513.36293007769,
294,1184,362,18,159.26748057713652,
295,314,634,18,197.33629300776914,
296,1012,414,21,8021.543357199682,E.co
